Fabricated Timestamp,Temperature,Humidity,ms,Speed_and_mode,Motion Detected (0/1),Mode( Auto=1),Speed
11345231,26,62,8,8,0,1,0
11345201,26,62,8,8,0,1,0
11345171,26,63,8,8,0,1,0
11345141,26,62,8,8,0,1,0
11345111,26,62,8,8,0,1,0
11345081,26,62,8,8,0,1,0
11345051,26,62,8,8,0,1,0
11345021,26,61,8,8,0,1,0
11344991,26,61,8,8,0,1,0
11344961,26,60,8,8,0,1,0
11344931,26,61,8,8,0,1,0
11344901,26,60,8,8,0,1,0
11344871,26,59,8,8,0,1,0
11344841,27,58,8,8,0,1,0
11344811,27,59,8,8,0,1,0
11344781,26,60,8,8,0,1,0
11344751,26,61,10,10,0,1,2
11344721,26,61,11,11,0,1,3
11344691,26,62,139,11,1,1,3
11344661,26,61,8,8,0,1,0
11344631,26,60,8,8,0,1,0
11344601,26,60,8,8,0,1,0
11344571,26,60,8,8,0,1,0
11344541,27,60,8,8,0,1,0
11344511,27,60,8,8,0,1,0
11344481,27,59,8,8,0,1,0
11344451,27,60,8,8,0,1,0
11344421,27,60,8,8,0,1,0
11344391,27,61,10,10,0,1,2
11344361,26,62,10,10,0,1,2
11344331,26,62,11,11,0,1,3
11344301,26,62,139,11,1,1,3
11344271,26,62,139,11,1,1,3
11344241,26,61,139,11,1,1,3
11344211,26,60,138,10,1,1,2
11344181,26,59,138,10,1,1,2
11344151,27,59,139,11,1,1,3
11344121,27,59,139,11,1,1,3
11344091,27,59,139,11,1,1,3
11344061,27,59,139,11,1,1,3
11344031,27,59,139,11,1,1,3
11344001,27,60,139,11,1,1,3
11343971,27,61,140,12,1,1,4
11343941,26,61,11,11,0,1,3
11343911,26,61,139,11,1,1,3
11343881,27,61,140,12,1,1,4
11343851,27,59,11,11,0,1,3
11343821,27,58,139,11,1,1,3
11343791,27,58,11,11,0,1,3
11343761,27,58,139,11,1,1,3
11343731,27,59,11,11,0,1,3
11343701,27,59,139,11,1,1,3
11343671,27,60,10,10,0,1,2
11343641,27,60,11,11,0,1,3
11343611,27,60,139,11,1,1,3
11343581,27,59,139,11,1,1,3
11343551,27,59,11,11,0,1,3
11343521,27,59,139,11,1,1,3
11343491,27,58,10,10,0,1,2
11343461,27,58,11,11,0,1,3
11343431,27,58,139,11,1,1,3
11343401,27,58,139,11,1,1,3
11343371,27,58,139,11,1,1,3
11343341,27,59,139,11,1,1,3
11343311,27,59,139,11,1,1,3
11343281,27,59,139,11,1,1,3
11343251,27,59,139,11,1,1,3
11343221,27,59,139,11,1,1,3
11343191,27,59,139,11,1,1,3
11343161,27,59,139,11,1,1,3
11343131,27,59,139,11,1,1,3
11343101,27,59,11,11,0,1,3
11343071,27,59,139,11,1,1,3
11343041,27,58,139,11,1,1,3
11343011,27,59,139,11,1,1,3
11342981,27,59,139,11,1,1,3
11342951,27,59,139,11,1,1,3
11342921,27,60,139,11,1,1,3
11342891,27,60,139,11,1,1,3
11342861,27,59,139,11,1,1,3
11342831,27,59,139,11,1,1,3
11342801,27,59,139,11,1,1,3
11342771,27,59,139,11,1,1,3
11342741,27,59,139,11,1,1,3
11342711,27,59,11,11,0,1,3
11342681,27,59,139,11,1,1,3
11342651,27,59,139,11,1,1,3
11342621,27,59,139,11,1,1,3
11342591,27,59,139,11,1,1,3
11342561,27,60,139,11,1,1,3
11342531,27,60,11,11,0,1,3
11342501,27,60,139,11,1,1,3
11342471,26,59,9,9,0,1,1
11342441,26,59,10,10,0,1,2
11342411,26,59,138,10,1,1,2
11342381,26,59,10,10,0,1,2
11342351,27,59,139,11,1,1,3
11342321,27,59,139,11,1,1,3
11342291,26,59,138,10,1,1,2
11342261,26,59,138,10,1,1,2
11342231,27,59,139,11,1,1,3
11342201,26,60,138,10,1,1,2
11342171,26,59,138,10,1,1,2
11342141,26,60,9,9,0,1,1
11342111,26,60,10,10,0,1,2
11342081,26,59,138,10,1,1,2
11342051,26,59,9,9,0,1,1
11342021,26,59,10,10,0,1,2
11341991,26,58,138,10,1,1,2
11341961,27,58,139,11,1,1,3
11341931,27,58,11,11,0,1,3
11341901,27,59,139,11,1,1,3
11341871,27,59,139,11,1,1,3
11341841,27,59,139,11,1,1,3
11341811,27,59,139,11,1,1,3
11341781,27,59,139,11,1,1,3
11341751,27,58,139,11,1,1,3
11341721,27,58,139,11,1,1,3
11341691,26,58,138,10,1,1,2
11341661,26,57,138,10,1,1,2
11341631,27,57,139,11,1,1,3
11341601,27,58,139,11,1,1,3
11341571,27,58,139,11,1,1,3
11341541,27,59,139,11,1,1,3
11341511,27,59,139,11,1,1,3
11341481,26,59,10,10,0,1,2
11341451,26,59,138,10,1,1,2
11341421,26,59,138,10,1,1,2
11341391,26,58,138,10,1,1,2
11341361,26,59,138,10,1,1,2
11341331,26,60,10,10,0,1,2
11341301,26,59,138,10,1,1,2
11341271,26,59,8,8,0,1,0
11341241,26,59,8,8,0,1,0
11341211,26,61,8,8,0,1,0
11341181,27,59,8,8,0,1,0
11341151,27,59,8,8,0,1,0
11341121,26,59,8,8,0,1,0
11341091,26,59,8,8,0,1,0
11341061,26,59,9,9,0,1,1
11341031,26,60,10,10,0,1,2
11341001,26,60,138,10,1,1,2
11340971,26,60,8,8,0,1,0
11340941,26,60,8,8,0,1,0
11340911,26,60,8,8,0,1,0
11340881,26,59,8,8,0,1,0
11340851,26,59,8,8,0,1,0
11340821,26,59,8,8,0,1,0
11340791,26,59,8,8,0,1,0
11340761,26,59,8,8,0,1,0
11340731,26,60,8,8,0,1,0
11340701,26,60,8,8,0,1,0
11340671,26,60,8,8,0,1,0
11340641,26,61,8,8,0,1,0
11340611,26,61,8,8,0,1,0
11340581,26,62,8,8,0,1,0
11340551,26,63,8,8,0,1,0
11340521,26,62,8,8,0,1,0
11340491,26,61,8,8,0,1,0
11340461,26,61,8,8,0,1,0
11340431,26,61,8,8,0,1,0
11340401,26,61,8,8,0,1,0
11340371,26,59,8,8,0,1,0
11340341,26,59,8,8,0,1,0
11340311,26,58,8,8,0,1,0
11340281,27,59,8,8,0,1,0
11340251,27,59,8,8,0,1,0
11340221,26,60,8,8,0,1,0
11340191,26,60,9,9,0,1,1
11340161,26,62,11,11,0,1,3
11340131,26,61,139,11,1,1,3
11340101,26,61,8,8,0,1,0
11340071,26,60,8,8,0,1,0
11340041,26,60,8,8,0,1,0
11340011,26,60,8,8,0,1,0
11339981,26,60,8,8,0,1,0
11339951,26,60,8,8,0,1,0
11339921,26,59,8,8,0,1,0
11339891,26,59,8,8,0,1,0
11339861,26,59,8,8,0,1,0
11339831,27,59,8,8,0,1,0
11339801,27,59,8,8,0,1,0
11339771,27,59,8,8,0,1,0
11339741,27,59,8,8,0,1,0
11339711,27,59,9,9,0,1,1
11339681,27,58,10,10,0,1,2
11339651,27,58,11,11,0,1,3
11339621,27,58,139,11,1,1,3
11339591,27,58,139,11,1,1,3
11339561,27,58,139,11,1,1,3
11339531,27,59,139,11,1,1,3
11339501,27,59,139,11,1,1,3
11339471,27,59,139,11,1,1,3
11339441,27,59,139,11,1,1,3
11339411,27,58,139,11,1,1,3
11339381,27,58,139,11,1,1,3
11339351,27,57,139,11,1,1,3
11339321,27,57,139,11,1,1,3
11339291,27,58,139,11,1,1,3
11339261,27,57,139,11,1,1,3
11339231,27,58,139,11,1,1,3
11339201,27,59,139,11,1,1,3
11339171,26,59,138,10,1,1,2
11339141,27,59,139,11,1,1,3
11339111,27,58,139,11,1,1,3
11339081,27,58,139,11,1,1,3
11339051,27,57,139,11,1,1,3
11339021,27,58,139,11,1,1,3
11338991,27,58,139,11,1,1,3
11338961,27,59,139,11,1,1,3
11338931,26,58,138,10,1,1,2
11338901,26,58,138,10,1,1,2
11338871,27,59,139,11,1,1,3
11338841,27,59,139,11,1,1,3
11338811,26,60,138,10,1,1,2
11338781,26,60,138,10,1,1,2
11338751,26,60,138,10,1,1,2
11338721,26,60,138,10,1,1,2
11338691,26,60,138,10,1,1,2
11338661,26,60,138,10,1,1,2
11338631,26,59,138,10,1,1,2
11338601,26,59,8,8,0,1,0
11338571,26,57,8,8,0,1,0
11338541,27,57,8,8,0,1,0
11338511,27,57,8,8,0,1,0
11338481,27,59,8,8,0,1,0
11338451,27,59,9,9,0,1,1
11338421,27,59,10,10,0,1,2
11338391,26,60,10,10,0,1,2
11338361,26,59,138,10,1,1,2
11338331,26,59,138,10,1,1,2
11338301,26,59,8,8,0,1,0
11338271,26,58,8,8,0,1,0
11338241,26,59,8,8,0,1,0
11338211,26,58,9,9,0,1,1
11338181,26,59,10,10,0,1,2
